HCLk-015.kin - RawData;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;
0;3,439;;;;;;;;;;;;;;
1;3,4204;;;;;;;;;;;;;;
2;3,4251;;;;;;;;;;;;;;
3;3,4118;;;;;;;;;;;;;;
4;3,3987;;;;;;;;;;;;;;
5;3,382;;;;;;;;;;;;;;
6;3,3904;;;;;;;;;;;;;;
7;3,3945;;;;;;;;;;;;;;
8;3,3659;;;;;;;;;;;;;;
9;3,3659;;;;;;;;;;;;;;y
10;3,3619;;;;;;;;;;;;;;-0,0052
11;3,3659;;;;;;;;;;;;;;
12;3,362;;;;;;;;;;;;;;
13;3,3354;;;;;;;;;;;;;;
14;3,3355;;;;;;;;;;;;;;
15;3,3245;;;;;;;;;;;;;;
16;3,3067;;;;;;;;;;;;;;
17;3,3032;;;;;;;;;;;;;;
18;3,3068;;;;;;;;;;;;;;
19;3,3032;;;;;;;;;;;;;;
20;3,2867;;;;;;;;;;;;;;
21;3,287;;;;;;;;;;;;;;
22;3,28;;;;;;;;;;;;;;
23;3,2579;;;;;;;;;;;;;;
24;3,2673;;;;;;;;;;;;;;
25;3,246;;;;;;;;;;;;;;
26;3,2458;;;;;;;;;;;;;;
27;3,2368;;;;;;;;;;;;;;
28;3,2281;;;;;;;;;;;;;;
29;3,237;;;;;;;;;;;;;;
30;3,2226;;;;;;;;;;;;;;
31;3,234;;;;;;;;;;;;;;
32;3,2283;;;;;;;;;;;;;;
33;3,2031;;;;;;;;;;;;;;
34;3,2088;;;;;;;;;;;;;;
35;3,1925;;;;;;;;;;;;;;
36;3,2034;;;;;;;;;;;;;;
37;3,1871;;;;;;;;;;;;;;
38;3,1822;;;;;;;;;;;;;;
39;3,177;;;;;;;;;;;;;;
40;3,1745;;;;;;;;;;;;;;
41;3,1546;;;;;;;;;;;;;;
42;3,1593;;;;;;;;;;;;;;
43;3,15;;;;;;;;;;;;;;
44;3,1546;;;;;;;;;;;;;;
45;3,1425;;;;;;;;;;;;;;
46;3,1358;;;;;;;;;;;;;;
47;3,1287;;;;;;;;;;;;;;
48;3,1242;;;;;;;;;;;;;;
49;3,1087;;;;;;;;;;;;;;
50;3,1152;;;;;;;;;;;;;;
51;3,115;;;;;;;;;;;;;;
52;3,1042;;;;;;;;;;;;;;
53;3,1019;;;;;;;;;;;;;;
54;3,0913;;;;;;;;;;;;;;
55;3,0831;;;;;;;;;;;;;;
56;3,083;;;;;;;;;;;;;;
57;3,0728;;;;;;;;;;;;;;
58;3,0669;;;;;;;;;;;;;;
59;3,061;;;;;;;;;;;;;;
60;3,0611;;;;;;;;;;;;;;
61;3,0474;;;;;;;;;;;;;;
62;3,0457;;;;;;;;;;;;;;
63;3,0435;;;;;;;;;;;;;;
64;3,0343;;;;;;;;;;;;;;
65;3,0255;;;;;;;;;;;;;;
66;3,0235;;;;;;;;;;;;;;
67;3,0164;;;;;;;;;;;;;;
68;3,02;;;;;;;;;;;;;;
69;3,0109;;;;;;;;;;;;;;
70;3,0111;;;;;;;;;;;;;;
71;3,0077;;;;;;;;;;;;;;
72;2,9942;;;;;;;;;;;;;;
73;2,9843;;;;;;;;;;;;;;
74;2,9809;;;;;;;;;;;;;;
75;2,9809;;;;;;;;;;;;;;
76;2,9714;;;;;;;;;;;;;;
77;2,9695;;;;;;;;;;;;;;
78;2,9572;;;;;;;;;;;;;;
79;2,9602;;;;;;;;;;;;;;
80;2,9572;;;;;;;;;;;;;;
81;2,9496;;;;;;;;;;;;;;
82;2,9451;;;;;;;;;;;;;;
83;2,9345;;;;;;;;;;;;;;
84;2,9403;;;;;;;;;;;;;;
85;2,923;;;;;;;;;;;;;;
86;2,9173;;;;;;;;;;;;;;
87;2,9202;;;;;;;;;;;;;;
88;2,9159;;;;;;;;;;;;;;
