HCLk-014.kin - RawData;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;
0;3,366;;;;;;;;;;;;;;;
1;3,362;;;;;;;;;;;;;;;
2;3,3538;;;;;;;;;;;;;;;
3;3,3464;;;;;;;;;;;;;;;
4;3,339;;;;;;;;;;;;;;;
5;3,3429;;;;;;;;;;;;;;;
6;3,3428;;;;;;;;;;;;;;;
7;3,3246;;;;;;;;;;;;;;;
8;3,3247;;;;;;;;;;;;;;;
9;3,3175;;;;;;;;;;;;;;;
10;3,3037;;;;;;;;;;;;;;;
11;3,3035;;;;;;;;;;;;;;;y
12;3,3035;;;;;;;;;;;;;;;-0,0036
13;3,2803;;;;;;;;;;;;;;;
14;3,2965;;;;;;;;;;;;;;;
15;3,287;;;;;;;;;;;;;;;
16;3,2836;;;;;;;;;;;;;;;
17;3,2805;;;;;;;;;;;;;;;
18;3,2738;;;;;;;;;;;;;;;
19;3,2738;;;;;;;;;;;;;;;
20;3,2552;;;;;;;;;;;;;;;
21;3,2612;;;;;;;;;;;;;;;
22;3,249;;;;;;;;;;;;;;;
23;3,2371;;;;;;;;;;;;;;;
24;3,237;;;;;;;;;;;;;;;
25;3,2313;;;;;;;;;;;;;;;
26;3,2344;;;;;;;;;;;;;;;
27;3,2372;;;;;;;;;;;;;;;
28;3,2198;;;;;;;;;;;;;;;
29;3,2143;;;;;;;;;;;;;;;
30;3,2228;;;;;;;;;;;;;;;
31;3,2114;;;;;;;;;;;;;;;
32;3,2005;;;;;;;;;;;;;;;
33;3,1951;;;;;;;;;;;;;;;
34;3,2088;;;;;;;;;;;;;;;
35;3,2035;;;;;;;;;;;;;;;
36;3,1976;;;;;;;;;;;;;;;
37;3,1874;;;;;;;;;;;;;;;
38;3,1897;;;;;;;;;;;;;;;
39;3,1794;;;;;;;;;;;;;;;
40;3,1819;;;;;;;;;;;;;;;
41;3,1743;;;;;;;;;;;;;;;
42;3,1667;;;;;;;;;;;;;;;
43;3,1669;;;;;;;;;;;;;;;
44;3,1643;;;;;;;;;;;;;;;
45;3,1521;;;;;;;;;;;;;;;
46;3,1474;;;;;;;;;;;;;;;
47;3,1524;;;;;;;;;;;;;;;
48;3,1449;;;;;;;;;;;;;;;
49;3,1358;;;;;;;;;;;;;;;
50;3,1448;;;;;;;;;;;;;;;
51;3,1262;;;;;;;;;;;;;;;
52;3,1288;;;;;;;;;;;;;;;
53;3,1263;;;;;;;;;;;;;;;
54;3,1265;;;;;;;;;;;;;;;
55;3,1194;;;;;;;;;;;;;;;
56;3,1108;;;;;;;;;;;;;;;
57;3,1065;;;;;;;;;;;;;;;
58;3,1066;;;;;;;;;;;;;;;
59;3,1041;;;;;;;;;;;;;;;
60;3,1088;;;;;;;;;;;;;;;
61;3,0956;;;;;;;;;;;;;;;
62;3,0957;;;;;;;;;;;;;;;
63;3,081;;;;;;;;;;;;;;;
64;3,0873;;;;;;;;;;;;;;;
65;3,0751;;;;;;;;;;;;;;;
66;3,073;;;;;;;;;;;;;;;
67;3,0773;;;;;;;;;;;;;;;
68;3,0691;;;;;;;;;;;;;;;
69;3,0611;;;;;;;;;;;;;;;
70;3,063;;;;;;;;;;;;;;;
71;3,0612;;;;;;;;;;;;;;;
72;3,0571;;;;;;;;;;;;;;;
73;3,0495;;;;;;;;;;;;;;;
74;3,0477;;;;;;;;;;;;;;;
75;3,0383;;;;;;;;;;;;;;;
76;3,0422;;;;;;;;;;;;;;;
77;3,0311;;;;;;;;;;;;;;;
78;3,0236;;;;;;;;;;;;;;;
79;3,0237;;;;;;;;;;;;;;;
80;3,0238;;;;;;;;;;;;;;;
81;3,0131;;;;;;;;;;;;;;;
82;3,0097;;;;;;;;;;;;;;;
83;3,0167;;;;;;;;;;;;;;;
84;3,0026;;;;;;;;;;;;;;;
85;3,0043;;;;;;;;;;;;;;;
86;3,0027;;;;;;;;;;;;;;;
87;2,9976;;;;;;;;;;;;;;;
88;2,9927;;;;;;;;;;;;;;;
89;2,991;;;;;;;;;;;;;;;
90;2,981;;;;;;;;;;;;;;;
91;2,9763;;;;;;;;;;;;;;;
92;2,9809;;;;;;;;;;;;;;;
93;2,9713;;;;;;;;;;;;;;;
94;2,9746;;;;;;;;;;;;;;;
95;2,9666;;;;;;;;;;;;;;;
96;2,9559;;;;;;;;;;;;;;;
97;2,9523;;;;;;;;;;;;;;;
98;2,9556;;;;;;;;;;;;;;;
99;2,9575;;;;;;;;;;;;;;;
