HCLk-017.kin - RawData;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;
0;3,3278;;;;;;;;;;;;;;
1;3,3277;;;;;;;;;;;;;;
2;3,3208;;;;;;;;;;;;;;
3;3,3102;;;;;;;;;;;;;;
4;3,3101;;;;;;;;;;;;;;
5;3,29;;;;;;;;;;;;;;
6;3,2964;;;;;;;;;;;;;;y
7;3,2965;;;;;;;;;;;;;;-0,0021
8;3,2832;;;;;;;;;;;;;;
9;3,2705;;;;;;;;;;;;;;
10;3,2704;;;;;;;;;;;;;;
11;3,2768;;;;;;;;;;;;;;
12;3,2549;;;;;;;;;;;;;;
13;3,2579;;;;;;;;;;;;;;
14;3,2551;;;;;;;;;;;;;;
15;3,2578;;;;;;;;;;;;;;
16;3,2458;;;;;;;;;;;;;;
17;3,2456;;;;;;;;;;;;;;
18;3,2428;;;;;;;;;;;;;;
19;3,2487;;;;;;;;;;;;;;
20;3,2226;;;;;;;;;;;;;;
21;3,2339;;;;;;;;;;;;;;
22;3,234;;;;;;;;;;;;;;
23;3,2279;;;;;;;;;;;;;;
24;3,2337;;;;;;;;;;;;;;
25;3,2253;;;;;;;;;;;;;;
26;3,2169;;;;;;;;;;;;;;
27;3,2256;;;;;;;;;;;;;;
28;3,228;;;;;;;;;;;;;;
29;3,214;;;;;;;;;;;;;;
30;3,217;;;;;;;;;;;;;;
31;3,2084;;;;;;;;;;;;;;
32;3,2001;;;;;;;;;;;;;;
33;3,203;;;;;;;;;;;;;;
34;3,2057;;;;;;;;;;;;;;
35;3,2004;;;;;;;;;;;;;;
36;3,2;;;;;;;;;;;;;;
37;3,1872;;;;;;;;;;;;;;
38;3,1975;;;;;;;;;;;;;;
39;3,1949;;;;;;;;;;;;;;
40;3,1793;;;;;;;;;;;;;;
41;3,1845;;;;;;;;;;;;;;
42;3,182;;;;;;;;;;;;;;
43;3,1819;;;;;;;;;;;;;;
44;3,1793;;;;;;;;;;;;;;
45;3,1819;;;;;;;;;;;;;;
46;3,1766;;;;;;;;;;;;;;
47;3,1768;;;;;;;;;;;;;;
48;3,1666;;;;;;;;;;;;;;
49;3,1642;;;;;;;;;;;;;;
50;3,1741;;;;;;;;;;;;;;
51;3,1592;;;;;;;;;;;;;;
52;3,1592;;;;;;;;;;;;;;
53;3,1594;;;;;;;;;;;;;;
54;3,1446;;;;;;;;;;;;;;
