HCLk-018.kin - RawData;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;
0;3,293;;;;;;;;;;;;;;;
1;3,3029;;;;;;;;;;;;;;;
2;3,293;;;;;;;;;;;;;;;
3;3,2862;;;;;;;;;;;;;;;
4;3,2798;;;;;;;;;;;;;;;
5;3,2638;;;;;;;;;;;;;;;
6;3,2543;;;;;;;;;;;;;;;y
7;3,2337;;;;;;;;;;;;;;;-0,0041
8;3,2223;;;;;;;;;;;;;;;
9;3,2249;;;;;;;;;;;;;;;
10;3,2137;;;;;;;;;;;;;;;
11;3,1974;;;;;;;;;;;;;;;
12;3,192;;;;;;;;;;;;;;;
13;3,1812;;;;;;;;;;;;;;;
14;3,1792;;;;;;;;;;;;;;;
15;3,174;;;;;;;;;;;;;;;
16;3,1815;;;;;;;;;;;;;;;
17;3,1691;;;;;;;;;;;;;;;
18;3,164;;;;;;;;;;;;;;;
19;3,1615;;;;;;;;;;;;;;;
20;3,1566;;;;;;;;;;;;;;;
21;3,147;;;;;;;;;;;;;;;
22;3,1444;;;;;;;;;;;;;;;
23;3,1305;;;;;;;;;;;;;;;
24;3,1303;;;;;;;;;;;;;;;
25;3,126;;;;;;;;;;;;;;;
26;3,1283;;;;;;;;;;;;;;;
27;3,117;;;;;;;;;;;;;;;
28;3,1125;;;;;;;;;;;;;;;
29;3,1082;;;;;;;;;;;;;;;
30;3,1019;;;;;;;;;;;;;;;
31;3,1039;;;;;;;;;;;;;;;
32;3,0931;;;;;;;;;;;;;;;
33;3,0994;;;;;;;;;;;;;;;
34;3,0827;;;;;;;;;;;;;;;
35;3,0766;;;;;;;;;;;;;;;
36;3,0723;;;;;;;;;;;;;;;
37;3,0665;;;;;;;;;;;;;;;
38;3,0682;;;;;;;;;;;;;;;
39;3,0606;;;;;;;;;;;;;;;
40;3,0545;;;;;;;;;;;;;;;
41;3,0569;;;;;;;;;;;;;;;
42;3,0433;;;;;;;;;;;;;;;
43;3,0508;;;;;;;;;;;;;;;
44;3,0415;;;;;;;;;;;;;;;
45;3,0362;;;;;;;;;;;;;;;
46;3,0285;;;;;;;;;;;;;;;
47;3,0266;;;;;;;;;;;;;;;
48;3,0162;;;;;;;;;;;;;;;
49;3,0198;;;;;;;;;;;;;;;
50;3,011;;;;;;;;;;;;;;;
51;3,0058;;;;;;;;;;;;;;;
52;3,004;;;;;;;;;;;;;;;
53;2,9938;;;;;;;;;;;;;;;
54;3,0018;;;;;;;;;;;;;;;
55;2,9822;;;;;;;;;;;;;;;
56;2,9803;;;;;;;;;;;;;;;
57;2,9787;;;;;;;;;;;;;;;
58;2,9822;;;;;;;;;;;;;;;
59;2,9742;;;;;;;;;;;;;;;
60;2,9708;;;;;;;;;;;;;;;
61;2,9664;;;;;;;;;;;;;;;
62;2,9664;;;;;;;;;;;;;;;
63;2,9538;;;;;;;;;;;;;;;
64;2,9614;;;;;;;;;;;;;;;
