HCLk-011.kin - RawData;;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;;
0;3,2344;;;;;;;;;;;;;;;;
1;3,2314;;;;;;;;;;;;;;;;
2;3,2256;;;;;;;;;;;;;;;;
3;3,2231;;;;;;;;;;;;;;;;
4;3,2257;;;;;;;;;;;;;;;;
5;3,2143;;;;;;;;;;;;;;;;
6;3,2118;;;;;;;;;;;;;;;;
7;3,2122;;;;;;;;;;;;;;;;
8;3,2091;;;;;;;;;;;;;;;;
9;3,201;;;;;;;;;;;;;;;;
10;3,1928;;;;;;;;;;;;;;;;-0,003
11;3,1904;;;;;;;;;;;;;;;;
12;3,1928;;;;;;;;;;;;;;;;
13;3,1824;;;;;;;;;;;;;;;;
14;3,1775;;;;;;;;;;;;;;;;
15;3,1746;;;;;;;;;;;;;;;;
16;3,1725;;;;;;;;;;;;;;;;
17;3,1746;;;;;;;;;;;;;;;;
18;3,1642;;;;;;;;;;;;;;;;
19;3,1644;;;;;;;;;;;;;;;;
20;3,1499;;;;;;;;;;;;;;;;
21;3,1452;;;;;;;;;;;;;;;;
22;3,1405;;;;;;;;;;;;;;;;
23;3,1476;;;;;;;;;;;;;;;;
24;3,1357;;;;;;;;;;;;;;;;
25;3,1313;;;;;;;;;;;;;;;;
26;3,1291;;;;;;;;;;;;;;;;
27;3,1336;;;;;;;;;;;;;;;;
28;3,1182;;;;;;;;;;;;;;;;
29;3,1177;;;;;;;;;;;;;;;;
30;3,1133;;;;;;;;;;;;;;;;
31;3,1111;;;;;;;;;;;;;;;;
32;3,1111;;;;;;;;;;;;;;;;
33;3,1177;;;;;;;;;;;;;;;;
34;3,111;;;;;;;;;;;;;;;;
35;3,1113;;;;;;;;;;;;;;;;
36;3,0899;;;;;;;;;;;;;;;;
37;3,0962;;;;;;;;;;;;;;;;
38;3,0961;;;;;;;;;;;;;;;;
39;3,096;;;;;;;;;;;;;;;;
40;3,0774;;;;;;;;;;;;;;;;
41;3,0854;;;;;;;;;;;;;;;;
42;3,0816;;;;;;;;;;;;;;;;
43;3,0672;;;;;;;;;;;;;;;;
44;3,0693;;;;;;;;;;;;;;;;
45;3,0774;;;;;;;;;;;;;;;;
46;3,0694;;;;;;;;;;;;;;;;
47;3,0692;;;;;;;;;;;;;;;;
48;3,0616;;;;;;;;;;;;;;;;
49;3,0536;;;;;;;;;;;;;;;;
50;3,0596;;;;;;;;;;;;;;;;
