HCLk-009.kin - RawData;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;
0;1,7512;;;;;;;;;;;;;;;
1;1,7422;;;;;;;;;;;;;;;
2;1,7311;;;;;;;;;;;;;;;
3;1,7216;;;;;;;;;;;;;;;
4;1,7159;;;;;;;;;;;;;;;y
5;1,7077;;;;;;;;;;;;;;;-0,0029
6;1,7047;;;;;;;;;;;;;;;
7;1,7013;;;;;;;;;;;;;;;
8;1,6973;;;;;;;;;;;;;;;
9;1,6934;;;;;;;;;;;;;;;
10;1,6897;;;;;;;;;;;;;;;
11;1,6859;;;;;;;;;;;;;;;
12;1,682;;;;;;;;;;;;;;;
13;1,6782;;;;;;;;;;;;;;;
14;1,6746;;;;;;;;;;;;;;;
15;1,6715;;;;;;;;;;;;;;;
16;1,6675;;;;;;;;;;;;;;;
17;1,6637;;;;;;;;;;;;;;;
18;1,6601;;;;;;;;;;;;;;;
19;1,6568;;;;;;;;;;;;;;;
20;1,6531;;;;;;;;;;;;;;;
21;1,6498;;;;;;;;;;;;;;;
22;1,6458;;;;;;;;;;;;;;;
23;1,6422;;;;;;;;;;;;;;;
24;1,638;;;;;;;;;;;;;;;
25;1,6346;;;;;;;;;;;;;;;
26;1,6305;;;;;;;;;;;;;;;
27;1,6267;;;;;;;;;;;;;;;
28;1,6233;;;;;;;;;;;;;;;
29;1,6196;;;;;;;;;;;;;;;
30;1,6158;;;;;;;;;;;;;;;
31;1,6126;;;;;;;;;;;;;;;
32;1,609;;;;;;;;;;;;;;;
33;1,6052;;;;;;;;;;;;;;;
34;1,6018;;;;;;;;;;;;;;;
35;1,5984;;;;;;;;;;;;;;;
36;1,5947;;;;;;;;;;;;;;;
37;1,5918;;;;;;;;;;;;;;;
38;1,588;;;;;;;;;;;;;;;
39;1,5841;;;;;;;;;;;;;;;
40;1,5808;;;;;;;;;;;;;;;
41;1,5775;;;;;;;;;;;;;;;
42;1,5743;;;;;;;;;;;;;;;
43;1,5707;;;;;;;;;;;;;;;
44;1,5672;;;;;;;;;;;;;;;
45;1,564;;;;;;;;;;;;;;;
46;1,5605;;;;;;;;;;;;;;;
47;1,5573;;;;;;;;;;;;;;;
48;1,5537;;;;;;;;;;;;;;;
49;1,5509;;;;;;;;;;;;;;;
50;1,5477;;;;;;;;;;;;;;;
51;1,5444;;;;;;;;;;;;;;;
52;1,5412;;;;;;;;;;;;;;;
53;1,5379;;;;;;;;;;;;;;;
54;1,5346;;;;;;;;;;;;;;;
55;1,5315;;;;;;;;;;;;;;;
56;1,5284;;;;;;;;;;;;;;;
57;1,5251;;;;;;;;;;;;;;;
58;1,5221;;;;;;;;;;;;;;;
59;1,5189;;;;;;;;;;;;;;;
60;1,5156;;;;;;;;;;;;;;;
61;1,5125;;;;;;;;;;;;;;;
62;1,5092;;;;;;;;;;;;;;;
