HCLk-010.kin - RawData;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;
0;1,7494;;;;;;;;;;;;;;
1;1,7467;;;;;;;;;;;;;;
2;1,7438;;;;;;;;;;;;;;
3;1,7411;;;;;;;;;;;;;;
4;1,7378;;;;;;;;;;;;;;
5;1,7343;;;;;;;;;;;;;;y
6;1,7321;;;;;;;;;;;;;;-0,0026
7;1,7287;;;;;;;;;;;;;;
8;1,7261;;;;;;;;;;;;;;
9;1,7228;;;;;;;;;;;;;;
10;1,7201;;;;;;;;;;;;;;
11;1,7173;;;;;;;;;;;;;;
12;1,7143;;;;;;;;;;;;;;
13;1,7113;;;;;;;;;;;;;;
14;1,7081;;;;;;;;;;;;;;
15;1,7051;;;;;;;;;;;;;;
16;1,7027;;;;;;;;;;;;;;
17;1,6999;;;;;;;;;;;;;;
18;1,6968;;;;;;;;;;;;;;
19;1,6938;;;;;;;;;;;;;;
20;1,6907;;;;;;;;;;;;;;
21;1,688;;;;;;;;;;;;;;
22;1,685;;;;;;;;;;;;;;
23;1,6821;;;;;;;;;;;;;;
24;1,6793;;;;;;;;;;;;;;
25;1,6765;;;;;;;;;;;;;;
26;1,6736;;;;;;;;;;;;;;
27;1,6707;;;;;;;;;;;;;;
28;1,6679;;;;;;;;;;;;;;
29;1,6653;;;;;;;;;;;;;;
30;1,6624;;;;;;;;;;;;;;
31;1,6597;;;;;;;;;;;;;;
32;1,6563;;;;;;;;;;;;;;
33;1,6539;;;;;;;;;;;;;;
34;1,6508;;;;;;;;;;;;;;
35;1,6479;;;;;;;;;;;;;;
36;1,645;;;;;;;;;;;;;;
37;1,6422;;;;;;;;;;;;;;
38;1,6396;;;;;;;;;;;;;;
39;1,6362;;;;;;;;;;;;;;
40;1,6337;;;;;;;;;;;;;;
41;1,6304;;;;;;;;;;;;;;
42;1,6279;;;;;;;;;;;;;;
43;1,6253;;;;;;;;;;;;;;
44;1,6223;;;;;;;;;;;;;;
45;1,6195;;;;;;;;;;;;;;
46;1,6165;;;;;;;;;;;;;;
47;1,6137;;;;;;;;;;;;;;
48;1,6106;;;;;;;;;;;;;;
49;1,6081;;;;;;;;;;;;;;
50;1,605;;;;;;;;;;;;;;
51;1,6019;;;;;;;;;;;;;;
52;1,5996;;;;;;;;;;;;;;
53;1,5968;;;;;;;;;;;;;;
54;1,5934;;;;;;;;;;;;;;
55;1,5907;;;;;;;;;;;;;;
56;1,5883;;;;;;;;;;;;;;
57;1,5853;;;;;;;;;;;;;;
58;1,5825;;;;;;;;;;;;;;
59;1,5797;;;;;;;;;;;;;;
60;1,5767;;;;;;;;;;;;;;
61;1,5742;;;;;;;;;;;;;;
62;1,5711;;;;;;;;;;;;;;
63;1,5683;;;;;;;;;;;;;;
64;1,5656;;;;;;;;;;;;;;
65;1,5625;;;;;;;;;;;;;;
66;1,5596;;;;;;;;;;;;;;
67;1,5571;;;;;;;;;;;;;;
68;1,5541;;;;;;;;;;;;;;
69;1,5517;;;;;;;;;;;;;;
70;1,5488;;;;;;;;;;;;;;
71;1,5458;;;;;;;;;;;;;;
72;1,5429;;;;;;;;;;;;;;
73;1,5401;;;;;;;;;;;;;;
74;1,5374;;;;;;;;;;;;;;
75;1,5344;;;;;;;;;;;;;;
76;1,5319;;;;;;;;;;;;;;
77;1,5288;;;;;;;;;;;;;;
78;1,5261;;;;;;;;;;;;;;
79;1,5235;;;;;;;;;;;;;;
80;1,5209;;;;;;;;;;;;;;
81;1,5177;;;;;;;;;;;;;;
82;1,5152;;;;;;;;;;;;;;
83;1,5119;;;;;;;;;;;;;;
84;1,5092;;;;;;;;;;;;;;
85;1,5065;;;;;;;;;;;;;;
86;1,504;;;;;;;;;;;;;;
87;1,5007;;;;;;;;;;;;;;
88;1,4983;;;;;;;;;;;;;;
89;1,4954;;;;;;;;;;;;;;
90;1,4927;;;;;;;;;;;;;;
91;1,4897;;;;;;;;;;;;;;
92;1,4873;;;;;;;;;;;;;;
93;1,4844;;;;;;;;;;;;;;
94;1,4816;;;;;;;;;;;;;;
95;1,4787;;;;;;;;;;;;;;
96;1,4759;;;;;;;;;;;;;;
97;1,4732;;;;;;;;;;;;;;
98;1,4706;;;;;;;;;;;;;;
99;1,4677;;;;;;;;;;;;;;
100;1,4647;;;;;;;;;;;;;;
101;1,4622;;;;;;;;;;;;;;
102;1,4593;;;;;;;;;;;;;;
103;1,4566;;;;;;;;;;;;;;
104;1,4537;;;;;;;;;;;;;;
105;1,4512;;;;;;;;;;;;;;
106;1,4481;;;;;;;;;;;;;;
107;1,4454;;;;;;;;;;;;;;
108;1,4426;;;;;;;;;;;;;;
109;1,4398;;;;;;;;;;;;;;
110;1,4373;;;;;;;;;;;;;;
111;1,4346;;;;;;;;;;;;;;
112;1,4317;;;;;;;;;;;;;;
113;1,4289;;;;;;;;;;;;;;
114;1,4263;;;;;;;;;;;;;;
115;1,4232;;;;;;;;;;;;;;
116;1,4204;;;;;;;;;;;;;;
117;1,4179;;;;;;;;;;;;;;
118;1,4151;;;;;;;;;;;;;;
119;1,4122;;;;;;;;;;;;;;
120;1,4095;;;;;;;;;;;;;;
121;1,4067;;;;;;;;;;;;;;
122;1,4039;;;;;;;;;;;;;;
123;1,4013;;;;;;;;;;;;;;
124;1,3985;;;;;;;;;;;;;;
125;1,3956;;;;;;;;;;;;;;
126;1,3931;;;;;;;;;;;;;;
127;1,3902;;;;;;;;;;;;;;
128;1,3873;;;;;;;;;;;;;;
129;1,3848;;;;;;;;;;;;;;
130;1,3821;;;;;;;;;;;;;;
131;1,3791;;;;;;;;;;;;;;
132;1,3767;;;;;;;;;;;;;;
133;1,374;;;;;;;;;;;;;;
134;1,371;;;;;;;;;;;;;;
135;1,3682;;;;;;;;;;;;;;
