

Цикл № 1
Шаг  № 1
Точек  413
Циклическая потенцио. развертка , Скорость развертки 100,12 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.099700               734.910000                 -0.436220
0.199400               745.080000                 0.645200
0.299100               754.590000                 0.624910
0.398800               764.720000                 1.337100
0.498500               775.700000                 0.799400
0.598200               786.120000                 1.375600
0.697900               794.420000                 1.726600
0.797600               804.330000                 1.964000
0.897400               814.290000                 1.838200
0.997100               824.180000                 2.237900
1.096800               834.220000                 3.183400
1.196500               844.470000                 2.562500
1.296200               854.850000                 3.646000
1.395900               864.570000                 3.542500
1.495600               873.770000                 4.632100
1.595300               884.320000                 4.248600
1.695000               894.000000                 5.518700
1.794700               903.690000                 5.532900
1.894400               913.430000                 5.766200
1.994100               924.150000                 6.638700
2.093800               935.200000                 7.799200
2.193500               944.210000                 8.186700
2.293200               953.740000                 8.965900
2.392900               963.870000                 10.031000
2.492700               973.210000                 10.757000
2.592400               983.040000                 11.677000
2.692100               993.630000                 12.892000
2.791800               1003.600000                 13.462000
2.891500               1014.100000                 14.696000
2.991200               1022.900000                 15.320000
3.090900               1032.800000                 15.887000
3.190600               1043.200000                 16.944000
3.290300               1053.500000                 16.931000
3.390000               1063.300000                 18.293000
3.489700               1072.900000                 18.616000
3.589400               1083.600000                 19.664000
3.689100               1093.900000                 22.302000
3.788800               1102.800000                 24.919000
3.888500               1112.700000                 29.781000
3.988200               1123.300000                 37.637000
4.088000               1133.200000                 50.433000
4.187700               1142.700000                 68.233000
4.287400               1147.000000                 70.402000
4.387100               1137.700000                 38.913000
4.486800               1127.700000                 21.458000
4.586500               1117.200000                 11.279000
4.686200               1107.400000                 4.753800
4.785900               1098.100000                 2.237900
4.885600               1088.300000                 0.052750
4.985300               1078.000000                 -0.322600
5.085000               1067.600000                 -0.616800
5.184700               1057.600000                 -0.383470
5.284400               1048.200000                 -0.146080
5.384100               1037.700000                 -0.921140
5.483800               1027.600000                 -1.132100
5.583500               1018.700000                 -1.783400
5.683300               1008.200000                 -2.233900
5.783000               998.220000                 -2.637600
5.882700               987.460000                 -3.313300
5.982400               978.770000                 -3.479600
6.082100               968.180000                 -3.737300
6.181800               958.460000                 -4.250600
6.281500               948.000000                 -4.396700
6.381200               939.750000                 -4.222200
6.480900               928.880000                 -4.573200
6.580600               918.670000                 -4.356100
6.680300               908.630000                 -4.289200
6.780000               898.910000                 -4.628000
6.879700               888.820000                 -5.117000
6.979400               878.430000                 -4.790300
7.079100               868.870000                 -4.664500
7.178800               859.250000                 -4.699000
7.278600               849.520000                 -4.425100
7.378300               838.580000                 -5.094700
7.478000               829.000000                 -4.321600
7.577700               819.380000                 -4.697000
7.677400               808.960000                 -4.837000
7.777100               798.800000                 -4.400800
7.876800               789.320000                 -4.650300
7.976500               780.440000                 -4.644200
8.076200               770.060000                 -4.575200
