

Цикл № 1
Шаг  № 1
Точек  403
Циклическая потенцио. развертка , ЭДС 268,41мВ, Скорость развертки 29,982 мВ/с.
Время, с.              Потенциал, мВ            Ток, нА
0.099700               269.920000                 1759.100000
0.199400               272.510000                 2927.800000
0.299100               276.150000                 3848.900000
0.398800               278.000000                 4386.600000
0.498500               281.560000                 4753.800000
0.598200               284.360000                 5131.200000
0.697900               287.440000                 5455.800000
0.797600               290.720000                 6196.400000
0.897400               294.000000                 6127.400000
0.997100               296.760000                 6425.600000
1.096800               299.920000                 6825.300000
1.196500               303.830000                 6843.600000
1.296200               306.800000                 6849.700000
1.395900               310.650000                 7032.300000
1.495600               313.830000                 7229.100000
1.595300               315.810000                 7200.700000
1.695000               318.780000                 7216.900000
1.794700               320.360000                 7338.700000
1.894400               322.950000                 7296.100000
1.994100               325.450000                 7196.600000
2.093800               329.280000                 6865.900000
2.193500               331.620000                 7223.000000
2.293200               334.820000                 6900.400000
2.392900               337.870000                 7119.500000
2.492700               341.410000                 7087.100000
2.592400               343.850000                 6636.700000
2.692100               347.000000                 6730.000000
2.791800               350.330000                 6815.200000
2.891500               353.510000                 6823.300000
2.991200               355.760000                 6454.000000
3.090900               358.880000                 6642.700000
3.190600               361.890000                 6594.000000
3.290300               364.350000                 6316.100000
3.390000               367.950000                 6257.200000
3.489700               370.240000                 6448.000000
3.589400               374.580000                 6210.600000
3.689100               377.110000                 6234.900000
3.788800               380.730000                 5987.400000
3.888500               383.670000                 6141.600000
3.988200               386.790000                 6074.600000
4.088000               390.430000                 6165.900000
4.187700               392.620000                 5900.100000
4.287400               394.940000                 5930.600000
4.387100               397.710000                 5839.300000
4.486800               401.150000                 6001.600000
4.586500               403.570000                 5737.800000
4.686200               407.100000                 5756.100000
4.785900               410.030000                 5628.300000
4.885600               412.510000                 5709.400000
4.985300               415.670000                 5656.700000
5.085000               419.080000                 5737.800000
5.184700               421.920000                 5685.100000
5.284400               424.660000                 5646.500000
5.384100               427.840000                 5672.900000
5.483800               431.460000                 5782.500000
5.583500               434.110000                 5782.500000
5.683300               436.680000                 5553.200000
5.783000               439.620000                 5480.200000
5.882700               442.990000                 5461.900000
5.982400               445.660000                 5468.000000
6.082100               448.440000                 5583.600000
6.181800               451.750000                 5425.400000
6.281500               455.810000                 5455.800000
6.381200               458.720000                 5683.000000
6.480900               462.320000                 5532.900000
6.580600               465.520000                 5575.500000
6.680300               468.100000                 5433.500000
6.780000               471.010000                 5620.100000
6.879700               473.390000                 5346.200000
6.979400               475.680000                 5354.400000
7.079100               478.350000                 5309.700000
