

Цикл № 1
Шаг  № 1
Точек  42
Циклическая потенцио, развертка , ЭДС 284,64мВ, Скорость развертки 299,46 мВ/с,
Время, с,;Потенциал, мВ;Ток, мкА
0,099700;299,680000;15,434000
0,199400;328,780000;20,082000
0,299100;358,350000;17,970000
0,398800;388,220000;15,272000
0,498500;417,610000;14,278000
0,598200;447,500000;13,239000
0,697900;477,490000;13,486000
0,797600;506,650000;13,375000
0,897400;535,910000;12,803000
0,997100;565,500000;14,160000
1,096800;572,950000;8,890800
1,196500;543,990000;5,776400
1,296200;514,460000;3,252400
1,395900;484,560000;2,889200
1,495600;455,310000;1,166600
1,595300;425,810000;0,939400
1,695000;395,730000;-0,146080
1,794700;365,870000;-2,410400
1,894400;335,850000;-6,514900
1,994100;307,890000;-15,154000
2,093800;277,220000;-25,964000
2,193500;247,540000;-32,790000
2,293200;218,160000;-30,903000
2,392900;188,270000;-26,981000
2,492700;158,950000;-23,375000
2,592400;129,040000;-21,533000
2,692100;99,346000;-19,563000
2,791800;70,180000;-18,808000
2,891500;39,967000;-18,622000
2,991200;11,373000;-19,031000
3,090900;-6,400800;-16,804000
3,190600;18,593000;-11,184000
3,290300;47,282000;-8,403900
3,390000;77,076000;-6,529100
3,489700;106,390000;-5,380700
3,589400;135,790000;-3,865100
3,689100;166,270000;-2,093900
3,788800;195,340000;1,026600
3,888500;224,980000;7,178400
3,988200;254,550000;17,757000
4,088000;284,400000;27,951000
4,187700;314,650000;31,104000


Цикл № 2
Шаг  № 1
Точек  40
Циклическая потенцио, развертка, ЭДС 284,64мВ, Скорость развертки 299,46 мВ/с,
Время, с,              Потенциал, мВ            Ток, мкА
0,099700;343,590000;27,831000
0,199400;373,360000;23,511000
0,299100;403,020000;20,486000
0,398800;432,250000;18,471000
0,498500;462,900000;17,678000
0,598200;492,100000;16,864000
0,697900;520,980000;16,351000
0,797600;551,800000;16,126000
0,897400;576,470000;15,012000
0,997100;558,950000;8,663600
1,096800;528,430000;6,269400
1,196500;498,920000;4,473800
1,296200;470,340000;3,575000
1,395900;439,940000;2,112100
1,495600;410,010000;1,505500
1,595300;380,560000;-0,190720
1,695000;350,940000;-3,459300
1,794700;322,630000;-9,862700
1,894400;292,260000;-20,366000
1,994100;262,200000;-29,221000
2,093800;233,250000;-31,578000
2,193500;202,790000;-28,308000
2,293200;173,220000;-24,146000
2,392900;144,130000;-21,566000
2,492700;114,010000;-19,433000
2,592400;84,068000;-18,486000
2,692100;54,864000;-18,125000
2,791800;25,432000;-18,189000
2,891500;-1,809700;-17,729000
2,991200;4,152900;-12,279000
3,090900;32,328000;-8,856300
3,190600;62,275000;-6,752300
3,290300;91,630000;-5,364500
3,390000;121,940000;-3,824500
3,489700;152,020000;-2,627500
3,589400;180,500000;-0,166370
3,689100;210,010000;4,415000
3,788800;240,010000;12,977000
3,888500;269,600000;24,023000
3,988200;299,880000;30,251000


Цикл № 3
Шаг  № 1
Точек  32
Циклическая потенцио, развертка, последний цикл № 3, ЭДС 284,64мВ, Скорость развертки 299,46 мВ/с,
Время, с,              Потенциал, мВ            Ток, мкА
0,099700;328,230000;29,645000
0,199400;357,950000;25,477000
0,299100;389,130000;22,067000
0,398800;417,060000;19,675000
0,498500;447,810000;18,153000
0,598200;477,030000;17,313000
0,697900;507,040000;16,798000
0,797600;536,050000;16,528000
0,897400;565,520000;16,041000
0,997100;572,590000;11,883000
1,096800;543,930000;7,176300
1,196500;513,720000;5,603900
1,296200;484,590000;3,901600
1,395900;455,140000;3,021100
1,495600;425,160000;2,000500
1,595300;396,160000;0,612740
1,695000;365,700000;-1,424300
1,794700;335,790000;-6,616400
1,894400;307,870000;-15,156000
1,994100;276,890000;-25,534000
2,093800;247,460000;-31,160000
2,193500;218,120000;-29,799000
2,293200;187,760000;-25,674000
2,392900;158,780000;-22,331000
2,492700;128,570000;-20,267000
2,592400;99,346000;-18,979000
2,692100;70,371000;-18,062000
2,791800;40,196000;-17,964000
2,891500;10,687000;-18,066000
2,991200;-5,810200;-16,144000
3,090900;17,888000;-10,112000
3,190600;47,473000;-7,557800
