

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 322,48мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               324.140000                 0.303480
1.645200               328.250000                 2.321800
2.467700               332.330000                 4.307700
3.290300               336.390000                 5.642600
4.112900               340.720000                 6.398200
4.935500               344.960000                 7.943100
5.758000               349.250000                 8.372000
6.580600               353.070000                 9.113500
7.403200               357.020000                 10.512000
8.225800               361.150000                 12.058000
9.048300               365.320000                 10.524000
9.870900               369.440000                 13.941000
10.693500               373.530000                 12.142000
11.516100               377.940000                 13.493000
12.338600               382.130000                 14.831000
13.161200               386.460000                 11.714000
13.983800               390.510000                 10.748000
14.806400               394.320000                 13.929000
15.629000               398.180000                 12.856000
16.451500               402.320000                 12.975000
17.274100               406.430000                 12.887000
18.096700               410.350000                 13.791000
18.919300               414.650000                 13.751000
19.741800               418.800000                 12.580000
20.564400               423.040000                 13.856000
21.387000               427.100000                 13.880000
22.209600               431.320000                 11.775000
23.032100               435.220000                 12.935000
23.854700               439.300000                 13.402000
24.677300               443.390000                 12.839000
25.499900               447.660000                 14.828000
26.322400               452.010000                 17.033000
27.145000               456.210000                 15.242000
27.967600               460.580000                 17.108000
28.790200               464.880000                 15.730000
29.612700               468.820000                 12.999000
30.435300               472.700000                 15.059000
31.257900               476.370000                 16.242000
32.080500               480.290000                 15.654000
32.903100               484.440000                 16.087000
33.725600               488.700000                 15.790000
34.548200               492.730000                 14.736000
35.370800               496.960000                 14.195000
36.193400               501.370000                 13.525000
37.015900               505.360000                 15.791000
37.838500               509.370000                 14.689000
38.661100               513.400000                 16.127000
39.483700               517.630000                 15.383000
40.306200               521.580000                 13.885000
41.128800               525.830000                 13.117000
41.951400               529.810000                 16.443000
42.774000               534.280000                 15.274000
43.596500               538.420000                 14.037000
44.419100               542.670000                 15.372000
45.241700               546.730000                 14.499000
46.064300               550.710000                 13.672000
46.886900               554.540000                 12.846000
47.709400               558.730000                 13.429000
48.532000               562.660000                 18.310000
49.354600               566.850000                 16.796000
50.177200               570.940000                 14.515000
50.999700               575.190000                 13.817000
51.822300               579.440000                 17.300000
52.644900               583.490000                 13.575000
53.467500               587.440000                 13.845000
54.290000               591.550000                 15.632000
55.112600               595.600000                 15.386000
55.935200               599.900000                 15.514000
56.757800               604.040000                 14.773000
57.580300               608.560000                 15.941000
58.402900               612.960000                 16.802000
59.225500               617.680000                 13.469000
60.048100               621.700000                 13.309000
60.870600               625.710000                 16.682000
61.693200               629.350000                 15.119000
62.515800               632.880000                 15.169000
63.338400               636.630000                 14.524000
64.161000               640.600000                 16.538000
64.983500               644.870000                 15.197000
65.806100               648.770000                 15.841000
66.628700               653.120000                 12.801000
67.451300               657.460000                 12.748000
68.273800               661.560000                 11.424000
69.096400               665.710000                 16.297000
69.919000               669.690000                 13.638000
70.741600               673.630000                 12.089000
71.564100               677.720000                 13.534000
72.386700               681.970000                 15.190000
73.209300               686.140000                 15.772000
74.031900               690.500000                 13.799000
74.854400               694.800000                 14.447000
75.677000               699.110000                 13.070000
76.499600               703.090000                 13.952000
77.322200               706.960000                 15.318000
78.144800               710.990000                 17.347000
78.967300               714.780000                 16.973000
