

Цикл № 1
Шаг№ 1
Точек96
Линейная потенцио, развертка , ЭДС 323,13мВ, Скорость развертки 5,0013 мВ/с,
Время, с,;Потенциал, мВ;Ток, мкА
0,822600;324,760000;0,625400
1,645200;328,740000;2,543900
2,467700;332,740000;3,756400
3,290300;336,980000;4,137300
4,112900;341,340000;6,533200
4,935500;345,810000;6,079200
5,758000;349,670000;7,590400
6,580600;353,780000;7,799000
7,403200;357,520000;7,559900
8,225800;361,730000;8,402300
9,048300;365,900000;7,841300
9,870900;370,000000;8,709400
10,693500;374,350000;9,014900
11,516100;378,520000;9,918400
12,338600;382,900000;13,108000
13,161200;387,100000;9,550300
13,983800;391,160000;9,966900
14,806400;394,920000;10,066000
15,629000;398,880000;11,620000
16,451500;402,770000;10,349000
17,274100;406,920000;10,131000
18,096700;411,210000;9,980900
18,919300;415,220000;10,207000
19,741800;419,390000;11,848000
20,564400;423,670000;10,859000
21,387000;427,910000;11,391000
22,209600;431,880000;11,826000
23,032100;435,940000;11,351000
23,854700;439,990000;12,054000
24,677300;444,120000;12,522000
25,499900;448,250000;12,521000
26,322400;452,440000;10,171000
27,145000;456,870000;12,061000
27,967600;461,130000;11,530000
28,790200;465,610000;13,459000
29,612700;469,620000;11,028000
30,435300;473,190000;11,856000
31,257900;477,220000;10,104000
32,080500;481,130000;12,743000
32,903100;485,100000;11,905000
33,725600;489,350000;10,664000
34,548200;493,420000;12,750000
35,370800;497,560000;11,646000
36,193400;501,830000;10,782000
37,015900;505,880000;10,191000
37,838500;509,950000;10,184000
38,661100;513,960000;12,801000
39,483700;518,160000;10,521000
40,306200;522,210000;9,863300
41,128800;526,430000;11,736000
41,951400;530,520000;11,921000
42,774000;534,720000;10,167000
43,596500;539,210000;12,310000
44,419100;543,210000;14,669000
45,241700;547,350000;12,436000
46,064300;551,280000;10,896000
46,886900;555,290000;11,625000
47,709400;559,280000;10,475000
48,532000;563,230000;11,468000
49,354600;567,480000;9,741600
50,177200;571,610000;12,012000
50,999700;575,870000;12,330000
51,822300;579,860000;11,401000
52,644900;584,040000;10,742000
53,467500;588,120000;11,215000
54,290000;592,180000;11,858000
55,112600;596,240000;10,951000
55,935200;600,340000;10,455000
56,757800;604,710000;11,121000
57,580300;609,230000;12,803000
58,402900;613,770000;11,023000
59,225500;618,210000;13,969000
60,048100;622,520000;12,752000
60,870600;626,450000;12,206000
61,693200;629,980000;12,188000
62,515800;633,480000;10,528000
63,338400;637,270000;11,916000
64,161000;641,120000;11,283000
64,983500;645,350000;10,345000
65,806100;649,510000;10,861000
66,628700;654,070000;12,889000
67,451300;657,930000;11,030000
68,273800;662,180000;11,022000
69,096400;666,220000;12,302000
69,919000;670,180000;11,041000
70,741600;674,250000;11,465000
71,564100;678,470000;12,006000
72,386700;682,680000;13,268000
73,209300;686,840000;11,850000
74,031900;691,230000;11,286000
74,854400;695,460000;11,012000
75,677000;699,810000;12,086000
76,499600;703,850000;11,448000
77,322200;707,550000;10,725000
78,144800;711,410000;11,291000
78,967300;715,430000;11,729000
