

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 275,74мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               277.460000                 0.771980
1.645200               281.490000                 1.510300
2.467700               285.570000                 2.262300
3.290300               289.760000                 2.984900
4.112900               294.060000                 3.643000
4.935500               298.480000                 4.022000
5.758000               303.360000                 4.309500
6.580600               308.070000                 4.844400
7.403200               312.120000                 5.369900
8.225800               315.890000                 5.822900
9.048300               319.210000                 6.130800
9.870900               322.840000                 6.002200
10.693500               326.540000                 6.311300
11.516100               330.470000                 7.235500
12.338600               334.700000                 7.025800
13.161200               338.910000                 6.897600
13.983800               343.090000                 7.041000
14.806400               347.520000                 8.224900
15.629000               351.740000                 8.213100
16.451500               355.520000                 8.344500
17.274100               359.360000                 8.364600
18.096700               363.620000                 7.128300
18.919300               367.830000                 6.797600
19.741800               372.030000                 7.295800
20.564400               376.210000                 8.497400
21.387000               380.590000                 8.141800
22.209600               385.180000                 8.794500
23.032100               389.220000                 8.539700
23.854700               393.260000                 8.617900
24.677300               396.940000                 9.070400
25.499900               400.980000                 8.949900
26.322400               404.760000                 7.994300
27.145000               408.720000                 8.215800
27.967600               412.940000                 7.950500
28.790200               417.310000                 8.525900
29.612700               421.500000                 7.937900
30.435300               425.810000                 9.480200
31.257900               429.890000                 9.616700
32.080500               433.950000                 8.361700
32.903100               437.750000                 8.572900
33.725600               441.850000                 9.814600
34.548200               445.930000                 10.318000
35.370800               450.190000                 10.174000
36.193400               454.720000                 9.214100
37.015900               459.050000                 9.302100
37.838500               463.670000                 8.224700
38.661100               467.730000                 8.299900
39.483700               471.620000                 8.369800
40.306200               475.340000                 8.161500
41.128800               478.960000                 8.553500
41.951400               482.950000                 8.048100
42.774000               487.100000                 7.683600
43.596500               491.150000                 7.867100
44.419100               495.320000                 8.960300
45.241700               499.730000                 10.039000
46.064300               503.840000                 9.804300
46.886900               508.020000                 9.100200
47.709400               511.830000                 9.059600
48.532000               515.800000                 8.992200
49.354600               519.840000                 8.805600
50.177200               524.120000                 9.036500
50.999700               528.340000                 8.822100
51.822300               532.620000                 8.590400
52.644900               536.850000                 8.415800
53.467500               541.320000                 8.798900
54.290000               545.420000                 8.402700
55.112600               549.300000                 8.795700
55.935200               553.150000                 8.806100
56.757800               557.040000                 10.095000
57.580300               560.980000                 9.606100
58.402900               565.130000                 10.396000
59.225500               569.430000                 8.749300
60.048100               573.440000                 9.826700
60.870600               577.790000                 9.318400
61.693200               581.920000                 8.954100
62.515800               586.120000                 9.580000
63.338400               589.880000                 8.980700
64.161000               594.030000                 8.972300
64.983500               598.130000                 9.251900
65.806100               602.400000                 8.543700
66.628700               606.820000                 9.069500
67.451300               611.360000                 8.947200
68.273800               616.230000                 8.871200
69.096400               621.060000                 9.355700
69.919000               624.970000                 8.987600
70.741600               628.570000                 9.050500
71.564100               632.190000                 9.468600
72.386700               635.520000                 9.176400
73.209300               639.310000                 9.243100
74.031900               643.090000                 8.987300
74.854400               647.030000                 8.981200
75.677000               651.390000                 9.281500
76.499600               656.130000                 9.067000
77.322200               660.030000                 8.883800
78.144800               664.110000                 8.845400
78.967300               668.060000                 9.375700
