

Цикл № 1
Шаг№ 1
Точек352
Линейная потенцио. развертка , ЭДС 58,91мВ, Скорость развертки 9,997 мВ/с.
Время,;с.Потенциал, мВ;Ток, мА
0.423800;56.720000;-0.021158
0.847500;52.399000;-0.054533
1.271300;48.270000;-0.088130
1.695000;44.026000;-0.117950
2.118800;39.862000;-0.144410
2.550200;34.182000;-0.963550
2.974000;30.189000;-1.193400
3.397700;26.267000;-1.429000
3.829200;19.664000;-1.851500
4.252900;15.361000;-2.145800
4.676700;11.273000;-2.432800
5.100400;6.575600;-2.712200
5.524200;0.914400;-2.998400
5.947900;-2.873200;-3.279000
6.371700;-5.006800;-3.545000
6.795400;-9.704300;-3.809000
7.219200;-14.509000;-4.072800
7.642900;-19.113000;-4.329300
8.066700;-23.272000;-4.575800
8.490400;-27.849000;-4.820700
8.914200;-31.825000;-5.057000
9.337900;-35.182000;-5.285400
9.761700;-39.947000;-5.511900
10.185400;-43.918000;-5.727900
10.609200;-48.203000;-5.930100
11.032900;-53.228000;-6.112100
11.456700;-57.213000;-6.273400
11.880400;-61.072000;-6.401800
12.304200;-64.528000;-6.504800
12.727900;-69.629000;-6.628100
13.151700;-72.861000;-6.753900
13.575400;-77.168000;-6.897000
13.999200;-81.458000;-7.039500
14.422900;-85.640000;-7.178600
14.846700;-91.014000;-7.328300
15.270500;-95.210000;-7.493600
15.694200;-99.356000;-7.685100
16.118000;-103.650000;-7.889700
16.541700;-107.160000;-8.101900
16.965500;-111.030000;-8.320600
17.389200;-115.560000;-8.545200
17.813000;-120.030000;-8.778500
18.236700;-125.040000;-8.986700
18.660500;-127.760000;-9.173100
19.084200;-131.450000;-9.378300
19.508000;-136.450000;-9.578400
19.931700;-140.840000;-9.773100
20.355500;-144.960000;-9.957600
20.779200;-149.710000;-10.133000
21.203000;-155.780000;-10.299000
21.626700;-159.990000;-10.443000
22.050500;-164.040000;-10.566000
22.474200;-167.970000;-10.670000
22.898000;-170.250000;-10.766000
23.321700;-174.410000;-10.857000
23.745500;-179.000000;-10.942000
24.169200;-183.020000;-11.003000
24.593000;-186.780000;-11.027000
25.016700;-191.850000;-11.024000
25.440500;-196.720000;-11.007000
25.864200;-200.700000;-10.962000
26.288000;-204.420000;-10.854000
26.711700;-208.020000;-10.675000
27.135500;-212.240000;-10.435000
27.559200;-216.810000;-10.127000
27.983000;-220.970000;-9.738500
28.406700;-225.280000;-9.292900
28.830500;-230.250000;-8.752600
29.254200;-235.270000;-8.017500
29.678000;-239.470000;-7.054900
30.101800;-243.150000;-5.738600
30.525500;-246.680000;-4.009300
30.949300;-251.640000;-1.940300
31.373000;-255.860000;-0.432990
31.796800;-260.200000;-0.068300
32.220500;-263.840000;-0.033560
32.644300;-268.240000;-0.041030
33.068000;-272.520000;-0.033040
33.491800;-276.630000;-0.019190
33.915500;-281.220000;-0.008790
34.339300;-285.270000;-0.007800
34.763000;-288.920000;-0.011390
35.186800;-293.020000;-0.021550
35.610500;-296.960000;-0.026570
36.034300;-301.630000;-0.026850
36.458000;-306.310000;-0.025050
36.881800;-311.110000;-0.026190
37.305500;-315.460000;-0.033230
37.729300;-318.790000;-0.026800
38.153000;-323.140000;-0.043580
38.576800;-327.750000;-0.044060
