

Цикл № 1
Шаг  № 1
Точек  94
Линейная потенцио. развертка , ЭДС -488,53мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мА
0.822600               -486.310000                 0.006636
1.645200               -482.380000                 0.024797
2.467700               -478.560000                 0.043097
3.290300               -474.760000                 0.062053
4.112900               -470.970000                 0.081782
4.935500               -466.270000                 0.101280
5.758000               -461.870000                 0.121180
6.580600               -457.690000                 0.140380
7.403200               -453.560000                 0.160230
8.233500               -447.360000                 0.240780
9.056000               -443.070000                 0.274720
9.878600               -439.190000                 0.311500
10.701200               -435.130000                 0.351230
11.523800               -431.390000                 0.396210
12.346300               -427.030000                 0.443140
13.168900               -422.370000                 0.497570
13.991500               -418.320000                 0.557940
14.814100               -414.340000                 0.624660
15.636700               -410.040000                 0.701410
16.459200               -405.790000                 0.785440
17.281800               -401.880000                 0.880290
18.104400               -398.730000                 0.986670
18.927000               -395.050000                 1.105200
19.749500               -390.740000                 1.240900
20.572100               -385.940000                 1.391600
21.394700               -381.030000                 1.564800
22.225000               -376.930000                 1.776700
23.047500               -372.950000                 1.997800
23.870100               -368.580000                 2.235100
24.692700               -364.350000                 2.496500
25.515300               -360.390000                 2.784100
26.337800               -356.880000                 3.081000
27.160400               -352.920000                 3.404600
27.983000               -348.350000                 3.748600
28.805600               -343.710000                 4.107900
29.628100               -339.400000                 4.484200
30.450700               -335.950000                 4.868200
31.273300               -331.610000                 5.265900
32.095900               -328.060000                 5.686200
32.918500               -324.200000                 6.086500
33.741000               -320.790000                 6.506000
34.563600               -317.280000                 6.938800
35.386200               -313.020000                 7.386900
36.208800               -307.840000                 7.856400
37.031300               -302.950000                 8.333300
37.853900               -298.940000                 8.809000
38.676500               -294.570000                 9.299200
39.499100               -290.430000                 9.801000
40.321600               -286.340000                 10.301000
41.144200               -282.430000                 10.809000
41.966800               -279.070000                 11.319000
42.789400               -275.130000                 11.839000
43.611900               -269.910000                 12.371000
44.434500               -265.850000                 12.893000
45.257100               -261.610000                 13.435000
46.079700               -257.850000                 13.974000
46.902300               -253.830000                 14.532000
47.724800               -249.180000                 15.092000
48.547400               -245.060000                 15.651000
49.370000               -242.520000                 16.216000
50.192600               -238.630000                 16.795000
51.015100               -234.220000                 17.375000
51.845400               -225.440000                 18.445000
52.668000               -221.390000                 19.023000
53.490600               -217.110000                 19.616000
54.313100               -213.130000                 20.202000
55.135700               -208.500000                 20.802000
55.958300               -204.830000                 21.384000
56.780900               -201.210000                 21.960000
57.603400               -197.350000                 22.541000
58.426000               -192.860000                 23.149000
59.248600               -188.070000                 23.767000
60.071200               -184.050000                 24.351000
60.893700               -180.040000                 24.950000
61.716300               -175.900000                 25.567000
62.538900               -171.320000                 26.193000
63.361500               -168.570000                 26.764000
64.184100               -165.470000                 27.267000
65.006600               -161.410000                 27.845000
65.829200               -157.940000                 28.429000
66.651800               -152.290000                 29.098000
67.474400               -147.280000                 29.734000
68.296900               -143.000000                 30.335000
69.119500               -139.140000                 30.938000
69.942100               -134.990000                 31.527000
70.764700               -130.830000                 32.132000
71.587200               -126.900000                 32.719000
72.409800               -123.220000                 33.326000
73.232400               -119.320000                 33.914000
74.055000               -114.690000                 34.521000
74.877500               -110.010000                 35.130000
75.700100               -105.850000                 35.734000
76.522700               -101.800000                 36.346000
77.345300               -97.760000                 36.943000
