

Цикл № 1
Шаг  № 1
Точек  281
Линейная потенцио. развертка , ЭДС -467,78мВ, Скорость развертки 9,997 мВ/с.
Время, с.              Потенциал, мВ            Ток, мА
0.423800               -470.170000                 -0.029170
0.847500               -474.230000                 -0.077850
1.271300               -478.250000                 -0.126160
1.695000               -482.640000                 -0.176220
2.118800               -487.530000                 -0.227220
2.542500               -491.620000                 -0.281060
2.966300               -495.830000                 -0.333670
3.390000               -499.370000                 -0.387180
3.813800               -503.550000                 -0.439890
4.237500               -508.470000                 -0.506350
4.661300               -512.710000                 -0.566000
5.085000               -516.600000                 -0.623290
5.508800               -520.330000                 -0.688340
5.932500               -524.300000                 -0.761560
6.356300               -528.640000                 -0.842440
6.780000               -532.620000                 -0.918020
7.203800               -537.060000                 -1.000100
7.627500               -541.710000                 -1.089400
8.051300               -547.110000                 -1.190900
8.475000               -551.400000                 -1.286100
8.898800               -555.410000                 -1.386500
9.322500               -558.480000                 -1.487500
9.746300               -562.160000                 -1.601200
10.170000               -566.780000                 -1.719800
10.593800               -570.930000                 -1.840800
11.017500               -575.190000                 -1.972600
11.441300               -579.840000                 -2.112100
11.865000               -584.070000                 -2.263700
12.288800               -588.330000                 -2.408200
12.712500               -592.630000                 -2.560600
13.136300               -596.620000                 -2.716300
13.560000               -600.550000                 -2.884000
13.983800               -605.100000                 -3.063000
14.407500               -609.300000                 -3.248200
14.831300               -613.530000                 -3.435800
15.255100               -618.280000                 -3.627200
15.678800               -623.560000                 -3.835900
16.102600               -627.870000                 -4.048400
16.526300               -631.320000                 -4.265000
16.950100               -635.250000                 -4.492500
17.373800               -639.910000                 -4.697300
17.797600               -643.440000                 -4.918900
18.221300               -647.240000                 -5.159600
18.645100               -651.150000                 -5.404100
19.068800               -655.440000                 -5.657700
19.492600               -660.300000                 -5.928900
19.916300               -664.630000                 -6.202000
20.340100               -668.960000                 -6.475100
20.763800               -672.840000                 -6.741000
21.187600               -676.880000                 -7.016000
21.611300               -680.830000                 -7.314400
22.035100               -685.650000                 -7.610000
22.458800               -689.630000                 -7.924000
22.882600               -693.830000                 -8.223400
23.306300               -698.640000                 -8.530000
23.730100               -703.660000                 -8.843800
24.153800               -707.520000                 -9.157600
24.577600               -711.440000                 -9.480700
25.001300               -714.930000                 -9.816700
25.425100               -719.260000                 -10.152000
25.848800               -723.210000                 -10.472000
26.272600               -727.740000                 -10.812000
26.696300               -732.190000                 -11.153000
27.120100               -736.250000                 -11.504000
27.543800               -740.910000                 -11.873000
27.967600               -745.390000                 -12.225000
28.391300               -749.040000                 -12.571000
28.815100               -752.970000                 -12.924000
29.238800               -757.250000                 -13.288000
29.662600               -761.870000                 -13.665000
30.086400               -766.310000                 -14.036000
30.510100               -770.050000                 -14.406000
30.933900               -774.420000                 -14.780000
31.357600               -779.620000                 -15.169000
31.781400               -784.100000                 -15.536000
32.205100               -788.270000                 -15.875000
32.628900               -791.500000                 -16.235000
33.052600               -795.250000                 -16.594000
33.476400               -799.780000                 -16.953000
33.900100               -804.000000                 -17.307000
34.323900               -808.120000                 -17.676000
34.755300               -815.510000                 -18.482000
35.179100               -820.020000                 -18.891000
35.602800               -825.090000                 -19.261000
36.026600               -827.990000                 -19.611000
36.450300               -831.760000                 -20.068000
36.874100               -835.950000                 -20.558000
37.297800               -840.710000                 -21.010000
37.721600               -845.250000                 -21.452000
38.145300               -849.300000                 -21.872000
38.569100               -854.010000                 -22.331000
38.992800               -859.090000                 -22.802000
39.416600               -863.320000                 -23.224000
39.840300               -866.950000                 -23.629000
40.264100               -870.330000                 -24.053000
40.687800               -874.470000                 -24.481000
41.111600               -878.950000                 -24.934000
41.535300               -883.380000                 -25.369000
41.959100               -887.320000                 -25.795000
42.382800               -891.890000                 -26.246000
42.806600               -896.210000                 -26.690000
43.230300               -900.710000                 -27.112000
43.654100               -904.640000                 -27.560000
44.077900               -908.630000                 -27.999000
44.501600               -913.060000                 -28.458000
44.925400               -917.300000                 -28.927000
45.349100               -921.400000                 -29.352000
45.772900               -925.810000                 -29.806000
46.196600               -930.430000                 -30.280000
46.620400               -935.450000                 -30.768000
47.044100               -939.950000                 -31.246000
47.467900               -943.580000                 -31.682000
47.891600               -947.360000                 -32.091000
48.315400               -952.110000                 -32.546000
48.739100               -955.500000                 -32.946000
49.162900               -959.120000                 -33.383000
49.586600               -963.820000                 -33.849000
50.010400               -967.580000                 -34.279000
50.434100               -972.360000                 -34.764000
50.857900               -977.280000                 -35.251000
51.281600               -980.950000                 -35.681000
51.705400               -984.690000                 -36.152000
52.129100               -988.160000                 -36.584000
52.552900               -993.010000                 -37.086000
52.976600               -997.380000                 -37.537000
53.400400               -1001.800000                 -37.981000
53.824100               -1005.800000                 -38.425000
54.247900               -1010.600000                 -38.912000
54.671600               -1015.800000                 -39.413000
55.095400               -1019.700000                 -39.882000
55.519100               -1023.300000                 -40.339000
55.942900               -1026.800000                 -40.762000
56.366600               -1031.200000                 -41.216000
56.790400               -1035.600000                 -41.704000
57.214100               -1039.800000                 -42.158000
57.637900               -1043.800000                 -42.645000
58.061600               -1048.300000                 -43.102000
58.485400               -1052.900000                 -43.555000
58.909200               -1057.100000                 -44.026000
59.332900               -1061.200000                 -44.492000
59.756700               -1065.300000                 -44.978000
60.180400               -1069.500000                 -45.446000
60.604200               -1074.000000                 -45.910000
61.027900               -1078.200000                 -46.356000
61.451700               -1082.500000                 -46.855000
61.875400               -1086.700000                 -47.325000
62.299200               -1091.800000                 -47.822000
62.722900               -1096.300000                 -48.292000
63.146700               -1100.400000                 -48.761000
63.570400               -1103.700000                 -49.172000
63.994200               -1107.300000                 -49.645000
64.417900               -1111.700000                 -50.118000
64.841700               -1116.200000                 -50.612000
65.265400               -1120.500000                 -51.075000
65.689200               -1124.700000                 -51.519000
66.112900               -1129.200000                 -51.994000
66.536700               -1133.500000                 -52.479000
66.960400               -1137.600000                 -52.963000
67.384200               -1141.600000                 -53.417000
67.807900               -1145.800000                 -53.889000
68.231700               -1150.000000                 -54.346000
68.655400               -1154.300000                 -54.810000
69.079200               -1158.600000                 -55.302000
69.502900               -1162.700000                 -55.777000
69.926700               -1167.500000                 -56.242000
70.350400               -1171.800000                 -56.704000
70.774200               -1175.900000                 -57.181000
71.197900               -1179.800000                 -57.656000
71.621700               -1184.100000                 -58.155000
72.045400               -1188.300000                 -58.594000
72.469200               -1192.600000                 -59.062000
72.892900               -1196.600000                 -59.535000
73.316700               -1201.000000                 -60.022000
73.740500               -1205.400000                 -60.510000
74.164200               -1209.900000                 -60.971000
74.588000               -1214.200000                 -61.434000
75.011700               -1218.200000                 -61.904000
75.435500               -1222.100000                 -62.432000
75.859200               -1226.300000                 -62.918000
76.283000               -1230.900000                 -63.381000
76.706700               -1235.200000                 -63.846000
77.130500               -1239.700000                 -64.304000
77.554200               -1244.400000                 -64.790000
77.978000               -1249.500000                 -65.319000
78.401700               -1254.200000                 -65.797000
78.825500               -1256.800000                 -66.339000
79.249200               -1261.000000                 -66.720000
79.673000               -1266.400000                 -67.136000
80.096700               -1269.700000                 -67.580000
80.520500               -1274.100000                 -68.094000
80.944200               -1276.200000                 -68.497000
81.368000               -1281.500000                 -69.017000
81.791700               -1286.200000                 -69.520000
82.215500               -1290.700000                 -69.956000
82.639200               -1294.200000                 -70.400000
83.063000               -1298.000000                 -70.841000
83.486700               -1302.000000                 -71.379000
83.910500               -1306.400000                 -71.865000
84.334200               -1310.700000                 -72.383000
84.758000               -1314.800000                 -72.816000
85.181700               -1319.700000                 -73.302000
85.605500               -1324.600000                 -73.788000
86.029200               -1329.000000                 -74.249000
86.453000               -1333.000000                 -74.711000
86.876700               -1336.600000                 -75.126000
87.300500               -1340.300000                 -75.530000
87.724200               -1344.800000                 -75.945000
88.148000               -1349.100000                 -76.410000
88.571800               -1353.500000                 -76.772000
88.995500               -1357.600000                 -77.258000
89.419300               -1361.800000                 -77.753000
89.843000               -1366.500000                 -78.240000
90.266800               -1370.800000                 -78.700000
90.690500               -1374.500000                 -79.177000
91.114300               -1378.600000                 -79.623000
91.538000               -1383.100000                 -80.089000
91.961800               -1387.300000                 -80.569000
92.385500               -1391.600000                 -81.019000
92.809300               -1395.800000                 -81.497000
93.233000               -1400.300000                 -81.947000
93.656800               -1405.500000                 -82.421000
94.080500               -1409.500000                 -82.872000
94.504300               -1413.300000                 -83.333000
94.928000               -1416.800000                 -83.761000
95.351800               -1420.900000                 -84.248000
95.775500               -1425.300000                 -84.669000
96.199300               -1429.600000                 -85.131000
96.623000               -1433.200000                 -85.591000
97.046800               -1437.700000                 -86.041000
97.470500               -1442.700000                 -86.458000
97.894300               -1446.700000                 -86.916000
98.318000               -1450.500000                 -87.355000
98.741800               -1454.900000                 -87.824000
99.165500               -1459.200000                 -88.260000
99.589300               -1463.600000                 -88.731000
100.013000               -1467.700000                 -89.180000
100.436800               -1471.800000                 -89.639000
100.860500               -1476.200000                 -90.088000
101.284300               -1481.000000                 -90.538000
101.708000               -1485.000000                 -90.936000
102.131800               -1489.300000                 -91.440000
102.555600               -1493.200000                 -91.881000
102.979300               -1497.600000                 -92.354000
103.403100               -1502.000000                 -92.814000
103.826800               -1505.900000                 -93.214000
104.250600               -1510.200000                 -93.684000
104.674300               -1514.300000                 -94.146000
105.098100               -1518.900000                 -94.610000
105.521800               -1523.300000                 -94.993000
105.945600               -1527.100000                 -95.388000
106.369300               -1531.500000                 -95.809000
106.793100               -1535.600000                 -96.290000
107.216800               -1540.000000                 -96.742000
107.640600               -1544.000000                 -97.195000
108.064300               -1548.100000                 -97.609000
108.488100               -1552.300000                 -98.013000
108.911800               -1557.400000                 -98.468000
109.335600               -1562.400000                 -98.755000
109.759300               -1566.500000                 -99.176000
110.183100               -1570.000000                 -99.415000
110.606800               -1573.600000                 -99.755000
111.030600               -1578.000000                 -100.240000
111.454300               -1581.900000                 -100.650000
111.878100               -1586.200000                 -101.120000
112.301800               -1590.300000                 -101.580000
112.725600               -1594.900000                 -102.030000
113.149300               -1599.200000                 -102.500000
113.573100               -1603.800000                 -102.860000
113.996800               -1607.800000                 -103.250000
114.420600               -1611.600000                 -103.700000
114.844300               -1616.000000                 -104.160000
115.268100               -1620.000000                 -104.560000
115.691800               -1624.400000                 -104.960000
116.115600               -1628.600000                 -105.360000
116.539300               -1633.200000                 -105.780000
116.963100               -1637.700000                 -106.180000
117.386900               -1642.100000                 -106.650000
