

Цикл № 1
Шаг  № 1
Точек  470
Линейная потенцио. развертка , ЭДС -456,04мВ, Скорость развертки 9,997 мВ/с.
Время, с.              Потенциал, мВ            Ток, мА
0.423800               -454.130000                 0.017350
0.847500               -449.680000                 0.058710
1.271300               -445.270000                 0.095440
1.695000               -441.370000                 0.136890
2.118800               -437.120000                 0.175940
2.542500               -432.860000                 0.219570
2.966300               -428.540000                 0.263670
3.390000               -424.070000                 0.313160
3.813800               -420.060000                 0.358540
4.237500               -415.970000                 0.407080
4.661300               -411.660000                 0.463380
5.085000               -407.260000                 0.522370
5.508800               -402.950000                 0.585670
5.932500               -399.010000                 0.658420
6.356300               -395.290000                 0.734990
6.780000               -391.070000                 0.819180
7.203800               -386.250000                 0.921000
7.627500               -381.780000                 1.036000
8.051300               -377.610000                 1.172100
8.475000               -373.500000                 1.324600
8.898800               -369.120000                 1.504600
9.322500               -364.800000                 1.711800
9.746300               -360.620000                 1.953700
10.170000               -356.710000                 2.247400
10.593800               -352.900000                 2.586200
11.017500               -347.900000                 2.981700
11.441300               -343.270000                 3.425700
11.865000               -339.320000                 3.922000
12.288800               -335.200000                 4.454400
12.712500               -331.030000                 5.017900
13.136300               -326.890000                 5.616700
13.560000               -323.360000                 6.223400
13.983800               -319.720000                 6.844800
14.407500               -316.170000                 7.481600
14.831300               -310.940000                 8.130100
15.255100               -305.880000                 8.774000
15.678800               -301.220000                 9.393900
16.102600               -296.820000                 10.007000
16.526300               -292.860000                 10.612000
16.950100               -288.330000                 11.219000
17.373800               -284.000000                 11.819000
17.797600               -280.570000                 12.403000
18.221300               -276.540000                 12.972000
18.645100               -272.060000                 13.539000
19.068800               -267.490000                 14.096000
19.492600               -262.960000                 14.642000
19.916300               -258.920000                 15.195000
20.340100               -254.690000                 15.746000
20.763800               -250.290000                 16.289000
21.187600               -246.510000                 16.825000
21.611300               -241.820000                 17.358000
22.042800               -233.810000                 18.464000
22.466500               -229.250000                 18.993000
22.890300               -224.790000                 19.527000
23.314000               -220.590000                 20.063000
23.737800               -216.440000                 20.599000
24.161500               -211.720000                 21.157000
24.585300               -207.530000                 21.687000
25.009000               -203.710000                 22.218000
25.432800               -199.720000                 22.723000
25.856500               -196.030000                 23.245000
26.280300               -190.720000                 23.809000
26.704000               -186.200000                 24.383000
27.127800               -182.040000                 24.921000
27.551500               -177.990000                 25.469000
27.975300               -173.590000                 26.014000
28.399000               -169.190000                 26.584000
28.822800               -166.650000                 27.081000
29.246500               -163.550000                 27.577000
29.670300               -159.720000                 28.119000
30.094100               -154.070000                 28.747000
30.517800               -148.870000                 29.344000
30.941600               -144.450000                 29.890000
31.365300               -140.220000                 30.442000
31.789100               -135.700000                 31.114000
32.212800               -131.670000                 31.925000
32.636600               -127.420000                 32.535000
